SOS_Core_ID,Tree_ID,Tree_Species,Uphill.Downhill,Tube.Soil.Mass.g,Heading,Sampler,FieldNotes,Env.Weight,Env.Wet.Soil,Wet.Soil.g,Env.Dry.Soil,Dry.Soil.g,Soil.Pct.Moist,Lab.Ecto.Date,Soil.Mass.Processed,Dead.Tips,Live.Tips,Plate.Locations,EctoNotes
SOS-001,2370,Qudo,uphill,1.87,30,HVM,,3.87,42.73,38.86,33.39,29.52,30.91504798,,,,,,
SOS-002,2370,Qudo,downhill,1.26,240,MH,extensive pig dung avoided for core,3.89,52.13,48.24,43.03,39.14,24.91847305,,,,,,
SOS-003,2383,Qudo,uphill,1.95,120,MH,,3.93,54.94,51.01,45.87,41.94,23.66217692,,,,,,
SOS-004,2383,Qudo,downhill,1.74,0,HVM,,3.87,49,45.13,41.8,37.93,22.59183673,,,,,,
SOS-005,2381,Qudo,uphill,1.66,210,MH,,3.86,56.56,52.7,47.4,43.54,23.01980198,,,,,,
SOS-006,2381,Qudo,downhill,1.69,30,HVM,,3.88,57.23,53.35,47.87,43.99,23.13471955,,,,,,
SOS-007,2384,Qudo,uphill,1.66,245,MH,,3.9,52.8,48.9,46.63,42.73,19.0719697,,,,,,
SOS-008,2384,Qudo,downhill,1.89,30,HVM,,3.91,53.44,49.53,46.49,42.58,20.32185629,,,,,,
SOS-009,2382,Qudo,uphill,1.65,225,MH,,3.86,56.43,52.57,49.41,45.55,19.28052454,,,,,,
SOS-010,2382,Qudo,downhill,1.61,28,HVM,fungi <3,3.85,57.21,53.36,49.51,45.66,20.18877819,,,,,,
SOS-011,2010,Qudo,uphill,1.72,210,MH,,3.87,57.82,53.95,49.84,45.97,20.49463853,,,,,,
SOS-012,2010,Qudo,downhill,1.94,0,HVM,,3.87,55.92,52.05,48.74,44.87,19.76037196,,,,,,
SOS-013,2011,Qudo,uphill,1.46,227,MH,,3.84,47.2,43.36,41.7,37.86,19.78813559,,,,,,
SOS-014,2011,Qudo,downhill,1.94,27,HVM,,3.89,51.28,47.39,41.43,37.54,26.79407176,,,,,,
SOS-015,2369,Qudo,uphill,1.55,120,MH,,3.88,50.31,46.43,36.52,32.64,35.1222421,,,,,,
SOS-016,2369,Qudo,downhill,1.95,32,HVM,,3.79,46.34,42.55,37.13,33.34,28.05351748,,,,,,
SOS-017,2367,Qudo,uphill,1.95,210,HVM,,3.88,50.81,46.93,42.03,38.15,24.91635505,,,,,,
SOS-018,2367,Qudo,downhill,1.76,54,MH,,3.87,42.73,38.86,35.62,31.75,25.69623216,,,,,,
SOS-019,2365,Qudo,uphill,1.81,205,HVM,,3.86,55.7,51.84,45.83,41.97,24.64991023,,,,,,
SOS-020,2365,Qudo,downhill,1.95,353,MH,,3.91,54.57,50.66,44.93,41.02,24.83049294,,,,,,
SOS-021,2360,Qudo,uphill,1.93,205,MH,,3.9,51.47,47.57,41.95,38.05,26.07344084,,,,,,
SOS-022,2360,Qudo,downhill,1.84,30,HVM,,3.85,45.72,41.87,36.66,32.81,28.23709536,,,,,,
SOS-023,2354,Quag,uphill,1.98,225,HVM,,3.91,47.11,43.2,37.77,33.86,28.12566334,,,,,,
SOS-024,2354,Quag,downhill,1.67,32,MH,,3.92,41.86,37.94,33.34,29.42,29.71810798,,,,,,
SOS-025,2352,Quag,uphill,2,255,HVM,,3.87,56.99,53.12,48.82,44.95,21.12651342,,,,,,
SOS-026,2352,Quag,downhill,1.98,52,MH,,3.89,44.42,40.53,36.66,32.77,26.22692481,,,,,,
SOS-027,2380,Quag,uphill,1.95,272,HVM,,3.83,58,54.17,50.99,47.16,18.68965517,,,,,,
SOS-028,2380,Quag,downhill,1.93,120,MH,,3.84,50.57,46.73,45.18,41.34,18.25192802,,,,,,
SOS-029,2379,Qudo,uphill,1.74,260,HVM,,3.86,59.23,55.37,52,48.14,18.72361979,,,,,,
SOS-030,2379,Qudo,downhill,1.84,100,MH,,3.88,47.25,43.37,41.23,37.35,20.95238095,,,,,,
SOS-031,2378,Qudo,uphill,1.99,283,HVM,,3.86,54.39,50.53,46.72,42.86,21.19874977,,,,,,
SOS-032,2378,Qudo,downhill,1.86,80,MH,,3.85,43.74,39.89,36.18,32.33,26.08596251,,,,,,
SOS-033,2377,Quag,uphill,2.01,272,HVM,,3.86,43.11,39.25,35.55,31.69,26.49037346,,,,,,
SOS-034,2377,Quag,downhill,1.95,130,MH,,3.84,49.16,45.32,42.54,38.7,21.27746135,,,,,,
SOS-035,2376,Quag,uphill,1.94,232,HVM,,3.88,59.88,56,50.6,46.72,21.97728791,,,,,,
