Old plate,Old column ,Old row,New plate,New column,New row,Amlified (Y/N)
1,4,b,1,1,a,N
1,4,c,1,1,b,N
1,6,c,1,1,c,Y
1,6,d,1,1,d,Y
1,11,c,1,1,e,N
2,3,c,1,1,f,N
2,3,e,1,1,g,N
2,3,g,1,1,h,N
2,6,a,1,2,a,N
2,6,f,1,2,b,N
2,7,a,1,2,c,Y
2,9,a,1,2,d,Y
2,11,g,1,2,e,Y
2,12,c,1,2,f,N
2,12,e,1,2,g,Y
3,1,a,1,2,h,N
3,1,b,1,3,a,Y
3,1,e,1,3,b,N
3,1,f,1,3,c,Y
3,2,d,1,3,d,N
3,3,f,1,3,e,N
3,4,a,1,3,f,N
3,5,b,1,3,g,Y
3,5,f,1,3,h,Y
3,9,d,1,4,a,Y
3,12,f,1,4,b,Y
4,1,h,1,4,c,Y
4,2,g,1,4,d,Y
4,3,f,1,4,e,N
4,5,a,1,4,f,N
4,5,f,1,4,g,Y
4,6,e,1,4,h,Y
3,11,e,1,5,a,Y
3,8,h,1,5,b,Y
4,1,d,1,5,c,Y
4,2,f,1,5,d,Y
