"","sos_core_id","morphotype","plate_number","column","row"
"1","SOS-013","A",1,1,"d"
"2","SOS-022","A",1,4,"b"
"3","SOS-022","B",1,4,"c"
"4","SOS-022","D",1,4,"h"
"5","SOS-011","A",1,7,"b"
"6","SOS-008","R",1,9,"b"
"7","SOS-046","E",1,11,"b"
"8","SOS-046","E",1,11,"c"
"9","SOS-004","A",2,2,"a"
"10","SOS-004","F",2,2,"c"
"11","SOS-004","C",2,3,"c"
"12","SOS-004","C",2,3,"e"
"13","SOS-004","C",2,3,"g"
"14","SOS-056","F",2,4,"a"
"15","SOS-056","F",2,4,"b"
"16","SOS-053","C",2,6,"a"
"17","SOS-053","C",2,6,"f"
"18","SOS-053","C",2,6,"h"
"19","SOS-040","C",2,7,"b"
"20","SOS-007","A",2,9,"b"
"21","SOS-055","A",2,11,"a"
"22","SOS-055","F",2,11,"f"
"23","SOS-055","F",2,11,"h"
"24","SOS-055","F",2,12,"b"
"25","SOS-055","F",2,12,"c"
"26","SOS-055","F",2,12,"g"
"27","SOS-018","F",3,1,"a"
"28","SOS-018","C",3,1,"e"
"29","SOS-017","C",3,2,"d"
"30","SOS-035","F",3,3,"e"
"31","SOS-035","F",3,3,"f"
"32","SOS-035","F",3,3,"g"
"33","SOS-032","D",3,4,"a"
"34","SOS-032","A",3,4,"b"
"35","SOS-044","A",3,5,"a"
"36","SOS-036","A",3,6,"a"
"37","SOS-036","A",3,6,"b"
"38","SOS-036","A",3,6,"c"
"39","SOS-036","A",3,6,"d"
"40","SOS-036","A",3,6,"e"
"41","SOS-036","A",3,6,"f"
"42","SOS-036","A",3,6,"g"
"43","SOS-049","A",3,7,"c"
"44","SOS-010","C",3,8,"a"
"45","SOS-051","C",3,8,"e"
"46","SOS-051","C",3,8,"f"
"47","SOS-025","A",3,9,"a"
"48","SOS-025","A",3,9,"b"
"49","SOS-025","F",3,9,"c"
"50","SOS-054","I",3,10,"b"
"51","SOS-014","F",3,10,"f"
"52","SOS-014","C",3,10,"g"
"53","SOS-014","C",3,10,"h"
"54","SOS-006","H",3,12,"c"
"55","SOS-006","H",3,12,"d"
"56","SOS-006","H",3,12,"e"
"57","SOS-006","H",3,12,"g"
"58","SOS-038","F",4,1,"c"
"59","SOS-038","C",4,2,"c"
"60","SOS-038","C",4,2,"d"
"61","SOS-050","C",4,3,"d"
"62","SOS-034","F",4,3,"f"
"63","SOS-036","A",4,4,"e"
"64","SOS-045","A/H",4,4,"f"
"65","SOS-045","A/H",4,4,"g"
"66","SOS-045","G",4,4,"h"
"67","SOS-003","A",4,5,"a"
"68","SOS-048","A",4,6,"c"
"69","SOS-048","A",4,6,"d"
"70","SOS-048","C",4,6,"f"
"71","SOS-048","C",4,6,"g"
"72","SOS-024","A",4,8,"a"
"73","SOS-024","J",4,8,"e"
"74","SOS-024","J",4,8,"f"
"75","SOS-043","C",4,8,"h"
"76","SOS-012","A",4,9,"a"
"77","SOS-012","A",4,9,"b"
"78","SOS-012","A",4,9,"c"
"79","SOS-047","C",4,10,"b"
