sample,new_plate_number,new_column,new_row,sanger_plate,sanger_column,sanger_row,newid
SOS-013,1-composite,1,a,1,1,a,SOS-013-1-1-a
SOS-013,1-composite,1,b,1,1,b,SOS-013-1-1-b
SOS-013,1-composite,1,c,1,1,c,SOS-013-1-1-c
SOS-013,1-composite,1,d,1,1,d,SOS-013-1-1-d
SOS-022,1-composite,1,e,1,1,e,SOS-022-1-4-a
SOS-022,1-composite,1,h,1,1,f,SOS-022-1-4-d
SOS-022,1-composite,2,a,1,1,g,SOS-022-1-4-e
SOS-022,1-composite,2,b,1,1,h,SOS-022-1-4-f
SOS-022,1-composite,2,c,1,2,a,SOS-022-1-4-g
SOS-022,1-composite,2,d,1,2,b,SOS-022-1-4-h
SOS-009,1-composite,2,e,1,2,c,SOS-009-1-6-a
SOS-009,1-composite,2,f,1,2,d,SOS-009-1-6-b
SOS-011,1-composite,3,a,1,2,e,SOS-011-1-7-a
SOS-011,1-composite,3,b,1,2,f,SOS-011-1-7-b
SOS-011,1-composite,3,c,1,2,g,SOS-011-1-7-c
SOS-011,1-composite,3,d,1,2,h,SOS-011-1-7-d
SOS-008,1-composite,3,e,1,3,a,SOS-008-1-9-a
SOS-008,1-composite,3,f,1,3,b,SOS-008-1-9-b
SOS-046,1-composite,3,g,1,3,c,SOS-046-1-11-a
SOS-046,1-composite,3,h,1,3,d,SOS-046-1-11-b
SOS-004,1-composite,4,b,1,3,e,SOS-004-2-2-a
SOS-004,1-composite,4,c,1,3,f,SOS-004-2-2-b
SOS-004,1-composite,4,d,1,3,g,SOS-004-2-2-c
SOS-004,1-composite,4,e,1,3,h,SOS-004-2-2-d
SOS-004,1-composite,4,f,1,4,a,SOS-004-2-2-e
SOS-004,1-composite,4,g,1,4,b,SOS-004-2-2-f
SOS-004,1-composite,4,h,1,4,c,SOS-004-2-2-g
SOS-004,1-composite,5,a,1,4,d,SOS-004-2-2-h
SOS-004,1-composite,5,b,1,4,e,SOS-004-2-3-a
SOS-004,1-composite,5,c,1,4,f,SOS-004-2-3-b
SOS-004,1-composite,5,e,1,4,g,SOS-004-2-3-d
SOS-004,1-composite,5,g,1,4,h,SOS-004-2-3-f
SOS-004,1-composite,6,a,1,5,a,SOS-004-2-3-h
SOS-056,1-composite,6,b,1,5,b,SOS-056-2-4-a
SOS-056,1-composite,6,c,1,5,c,SOS-056-2-4-b
SOS-053,1-composite,6,e,1,5,d,SOS-053-2-6-b
SOS-053,1-composite,6,f,1,5,e,SOS-053-2-6-c
SOS-053,1-composite,6,g,1,5,f,SOS-053-2-6-d
SOS-053,1-composite,6,h,1,5,g,SOS-053-2-6-e
SOS-053,1-composite,7,b,1,5,h,SOS-053-2-6-g
SOS-053,1-composite,7,c,1,6,a,SOS-053-2-6-h
SOS-040,1-composite,7,d,1,6,b,SOS-040-2-7-a
SOS-040,1-composite,7,e,1,6,c,SOS-040-2-7-b
SOS-007,1-composite,7,g,1,6,d,SOS-007-2-9-b
SOS-055,1-composite,7,h,1,6,e,SOS-055-2-11-a
SOS-055,1-composite,8,a,1,6,f,SOS-055-2-11-b
SOS-055,1-composite,8,b,1,6,g,SOS-055-2-11-c
SOS-055,1-composite,8,c,1,6,h,SOS-055-2-11-d
SOS-055,1-composite,8,d,1,7,a,SOS-055-2-11-e
SOS-055,1-composite,8,e,1,7,b,SOS-055-2-11-f
SOS-055,1-composite,8,f,1,7,c,SOS-055-2-11-g
SOS-055,1-composite,8,g,1,7,d,SOS-055-2-11-h
SOS-055,1-composite,8,h,1,7,e,SOS-055-2-12-a
