name,env_weight,env_wet_soil,wet_soil_g,env_dry_soil,dry_soil_g,soil_pct_moist,lab_ecto_date,soil_mass_processed,descriptio,geometry,lat,lng,carbon_percent,nitrogen_percent,c_n_ratio,total_exchange_capacity_meq_100_g,p_h,organic_matter_percent,estimated_nitrogen_release_number_n_acre,s_ppm,p_mg_kg,ca_mg_kg,mg_mg_kg,k_mg_kg,na_mg_kg,ca_percent,mg_percent,k_percent,na_percent,other_bases_percent,h_percent,b_mg_kg,fe_mg_kg,mn_mg_kg,cu_mg_kg,zn_mg_kg,al_mg_kg,no3_n_ppm,nh4_n_ppm,bray_i_p_ppm
B2370,3.87,42.73,38.86,33.39,29.52,30.91504798,NA,NA,NA,"c(-120.046230041519, 34.6916859366552)",-120.04623004151911,34.691685936655205,4.2,0.38,11.05,20.74,6.5,7.38,112,7,77,2490,486,607,25,60.03,19.53,7.5,0.52,4.9,7.5,0.78,132,59,1.63,3.38,300,23.2,1.6,95
B2370,3.89,52.13,48.24,43.03,39.14,24.91847305,NA,NA,NA,"c(-120.046221294693, 34.6916761639779)",-120.04622129469314,34.69167616397785,3.24,0.3,10.8,19.25,6.8,7.55,113,6,92,2332,461,845,28,60.57,19.96,11.26,0.63,4.6,3,0.7,113,76,1.26,3.03,314,5.9,0.7,54
B2383,3.93,54.94,51.01,45.87,41.94,23.66217692,NA,NA,NA,"c(-120.047571551001, 34.6894374815899)",-120.04757155100117,34.68943748158993,3.83,0.36,10.64,20.1,6.8,7.19,111,8,112,2411,567,605,55,59.98,23.51,7.72,1.19,4.6,3,0.82,104,84,1.38,2.9,275,22.4,0.6,89
B2383,3.87,49,45.13,41.8,37.93,22.59183673,NA,NA,NA,"c(-120.047575273313, 34.6894392454133)",-120.04757527331262,34.68943924541329,3.95,0.41,9.63,18.83,7.7,7.2,111,12,148,2392,485,732,59,63.52,21.46,9.97,1.36,3.7,0,1,88,81,1.57,2.57,254,7.2,< 0.5,106
B2381,3.86,56.56,52.7,47.4,43.54,23.01980198,NA,NA,NA,"c(-120.047772416222, 34.689843879305)",-120.04777241622186,34.68984387930504,7.55,0.63,11.98,16.45,6.6,11.48,126,5,68,1744,518,566,43,53.01,26.24,8.82,1.14,4.8,6,0.82,79,21,0.71,2.06,127,17.6,0.7,65
B2381,3.88,57.23,53.35,47.87,43.99,23.13471955,NA,NA,NA,"c(-120.047784390931, 34.6898454786123)",-120.0477843909305,34.68984547861226,5.05,0.46,10.98,21.72,6.5,13.24,127,5,66,2388,676,498,40,54.97,25.94,5.88,0.8,4.9,7.5,0.63,104,24,0.88,2.37,250,14.5,0.8,55
B2384,3.9,52.8,48.9,46.63,42.73,19.0719697,NA,NA,NA,"c(-120.047702393069, 34.68990404567)",-120.04770239306856,34.689904045669955,8.68,0.65,13.35,21.45,6.2,10.97,125,6,81,2267,619,448,27,52.84,24.05,5.36,0.55,5.2,12,0.57,112,30,1.04,2.32,267,6,4.8,65
B2384,3.91,53.44,49.53,46.49,42.58,20.32185629,NA,NA,NA,"c(-120.047703149246, 34.6899125707242)",-120.0477031492457,34.689912570724225,7.86,0.57,13.79,23.71,6.8,14.37,127,8,79,3200,587,345,30,67.48,20.63,3.73,0.55,4.6,3,0.87,92,34,1.38,2.87,223,12.6,1,66
B2382,3.86,56.43,52.57,49.41,45.55,19.28052454,NA,NA,NA,"c(-120.048000858561, 34.6899115990122)",-120.04800085856095,34.68991159901223,6.08,0.57,10.67,18.38,6.3,13.27,127,7,107,2033,450,576,27,55.3,20.4,8.04,0.64,5.1,10.5,0.6,119,48,0.73,3.02,192,15.8,< 0.5,99
B2382,3.85,57.21,53.36,49.51,45.66,20.18877819,NA,NA,NA,"c(-120.04798879349, 34.6899126153949)",-120.04798879349025,34.689912615394945,5.23,0.52,10.06,20.49,6.3,12.64,126,12,82,2500,452,357,26,61.01,18.38,4.47,0.55,5.1,10.5,0.65,99,38,0.85,2.31,176,26.8,1.6,71
B2010,3.87,57.82,53.95,49.84,45.97,20.49463853,NA,NA,previously New Saplfow 2 or SapNew2,"c(-120.048041118496, 34.690023471408)",-120.04804111849596,34.69002347140805,3.52,0.34,10.35,22.82,6.4,7.3,112,6,92,2409,725,513,51,52.78,26.48,5.76,0.97,5,9,0.63,127,40,1.13,1.82,343,15.7,0.9,66
B2010,3.87,55.92,52.05,48.74,44.87,19.76037196,NA,NA,previously New Saplfow 2 or SapNew2,"c(-120.048052123421, 34.690016336717)",-120.04805212342082,34.690016336717036,3.22,0.36,8.94,21.36,6.7,6.99,110,6,77,2538,682,321,45,59.41,26.61,3.85,0.92,4.7,4.5,0.8,112,36,1.08,1.96,311,10.6,< 0.5,67
B2369,3.88,50.31,46.43,36.52,32.64,35.1222421,NA,NA,Sapflow probe 1?,"c(-120.04721504164, 34.6904634794044)",-120.04721504164007,34.690463479404436,3.82,0.38,10.05,24.05,6.5,6.96,110,5,84,2851,646,516,24,59.27,22.38,5.5,0.43,4.9,7.5,0.65,110,53,1.74,2.4,301,18.5,0.6,60
B2369,3.79,46.34,42.55,37.13,33.34,28.05351748,NA,NA,Sapflow probe 1?,"c(-120.047215278152, 34.6904635152645)",-120.04721527815217,34.690463515264476,4,0.38,10.53,23.37,6.8,5.94,105,4,106,2943,673,452,26,62.97,24,4.96,0.48,4.6,3,0.63,93,57,2.21,2.37,323,11.7,0.9,72
B2367,3.88,50.81,46.93,42.03,38.15,24.91635505,NA,NA,Sapflow probe 2?,"c(-120.047211283968, 34.6904447365526)",-120.04721128396787,34.69044473655265,2.84,0.3,9.47,20.88,6.5,6.53,108,4,88,2468,561,465,20,59.1,22.39,5.71,0.42,4.9,7.5,0.73,106,36,1.61,2.66,318,10.4,< 0.5,71
B2367,3.87,42.73,38.86,35.62,31.75,25.69623216,NA,NA,Sapflow probe 2?,"c(-120.047216600135, 34.6904492065066)",-120.04721660013492,34.690449206506635,4.42,0.39,11.33,18.67,6.8,7.76,114,4,72,2447,478,371,19,65.53,21.34,5.1,0.44,4.6,3,0.84,87,36,1.18,2.28,231,10.7,< 0.5,58
B2365,3.86,55.7,51.84,45.83,41.97,24.64991023,NA,NA,Sapflow Probe 3?,"c(-120.047265404741, 34.6904649655444)",-120.04726540474134,34.690464965544365,5,0.45,11.11,23.77,6.8,8.62,118,6,99,3084,547,734,24,64.87,19.18,7.92,0.44,4.6,3,0.84,118,55,1.61,2.78,292,16.7,0.6,76
B2365,3.91,54.57,50.66,44.93,41.02,24.83049294,NA,NA,Sapflow Probe 3?,"c(-120.047262541091, 34.6904519643979)",-120.04726254109065,34.69045196439786,3.52,0.37,9.51,23.19,6.7,5.66,103,5,90,3010,563,471,25,64.9,20.23,5.21,0.47,4.7,4.5,0.85,111,42,1.82,2.49,364,10.5,0.7,68
B2360,3.9,51.47,47.57,41.95,38.05,26.07344084,NA,NA,"Sapflow probe 4
Logger ED02","c(-120.047308929658, 34.6904727409515)",-120.04730892965785,34.69047274095152,4.53,0.43,10.53,21.6,6.4,5.46,102,5,72,2837,394,394,23,65.67,15.2,4.68,0.46,5,9,0.61,111,58,1.63,2.28,302,9.9,0.6,49
B2360,3.85,45.72,41.87,36.66,32.81,28.23709536,NA,NA,"Sapflow probe 4
Logger ED02","c(-120.04731421749, 34.6904697913341)",-120.04731421749001,34.690469791334145,3.42,0.35,9.77,22.21,6.4,5.93,105,5,80,2861,434,416,26,64.41,16.28,4.8,0.51,5,9,0.66,116,68,1.98,2.81,363,18.3,0.8,59
L2354,3.91,47.11,43.2,37.77,33.86,28.12566334,NA,NA,NA,"c(-120.047613625134, 34.690616708176)",-120.04761362513365,34.69061670817601,5.35,0.49,10.92,22.54,6.4,9.4,122,7,93,2868,443,495,20,63.62,16.38,5.63,0.39,5,9,0.77,107,108,1.57,5.81,270,26.2,0.9,68
L2354,3.92,41.86,37.94,33.34,29.42,29.71810798,NA,NA,NA,"c(-120.047608471691, 34.6906075648591)",-120.04760847169136,34.69060756485909,5.39,0.49,11,21.59,6.6,7.83,114,7,80,2793,477,477,21,64.68,18.41,5.67,0.42,4.8,6,0.85,96,98,2.05,5.5,245,28.1,0.9,58
L2352,3.87,56.99,53.12,48.82,44.95,21.12651342,NA,NA,NA,"c(-120.047686574042, 34.6905417413034)",-120.04768657404159,34.690541741303356,4.25,0.38,11.18,24.31,6.9,7.5,112,9,143,3265,634,439,27,67.15,21.73,4.63,0.48,4.5,1.5,1.19,117,112,1.99,6.12,337,13,0.8,95
L2352,3.89,44.42,40.53,36.66,32.77,26.22692481,NA,NA,NA,"c(-120.047682436857, 34.6905313983231)",-120.04768243685686,34.69053139832314,5.33,0.45,11.84,21.31,6.6,8.21,116,7,152,2491,525,805,26,58.45,20.53,9.69,0.53,4.8,6,0.83,132,88,1.77,4.54,336,24.3,0.9,120
L2380,3.83,58,54.17,50.99,47.16,18.68965517,NA,NA,NA,"c(-120.048045369383, 34.690986599506)",-120.04804536938262,34.690986599506004,8.7,0.74,11.76,24.27,7.7,10.75,125,12,134,2911,892,488,30,59.97,30.63,5.16,0.54,3.7,0,1.6,71,101,1.85,3.67,224,7,0.5,80
L2380,3.84,50.57,46.73,45.18,41.34,18.25192802,NA,NA,NA,"c(-120.048052193416, 34.6909831416678)",-120.04805219341617,34.690983141667786,4.93,0.44,11.2,26.31,7.7,9.13,121,21,173,2625,1221,697,57,49.89,38.67,6.79,0.94,3.7,0,1.9,74,111,2,3.58,186,24.4,1.9,105
B2379,3.86,59.23,55.37,52,48.14,18.72361979,NA,NA,NA,"c(-120.048026349573, 34.6907887456325)",-120.04802634957278,34.690788745632524,4.4,0.4,11,18.99,6.7,6.47,107,10,81,2514,418,406,34,66.19,18.34,5.48,0.78,4.7,4.5,0.87,81,115,1.87,2.89,267,19.6,1.4,61
B2379,3.88,47.25,43.37,41.23,37.35,20.95238095,NA,NA,NA,"c(-120.048039570736, 34.6907863811721)",-120.04803957073564,34.69078638117213,3.25,0.31,10.48,16.64,7.1,6.3,106,7,95,2148,441,518,41,64.54,22.09,7.98,1.07,4.3,0,1.02,75,121,1.74,2.53,274,12,< 0.5,71
B2378,3.86,54.39,50.53,46.72,42.86,21.19874977,NA,NA,NA,"c(-120.04798656037, 34.6906653506454)",-120.04798656036964,34.69066535064536,3.85,0.37,10.41,17.33,7.1,6.52,108,6,78,2229,441,646,25,64.31,21.21,9.56,0.63,4.3,0,0.72,79,107,1.99,2.77,249,12.9,1,59
B2378,3.85,43.74,39.89,36.18,32.33,26.08596251,NA,NA,NA,"c(-120.047987740875, 34.6906764276461)",-120.04798774087472,34.69067642764609,3.62,0.36,10.06,17.99,7,7.12,111,5,75,2362,453,591,22,65.65,20.98,8.42,0.53,4.4,0,0.7,72,110,2.01,2.66,229,21.7,0.7,55
L2377,3.86,43.11,39.25,35.55,31.69,26.49037346,NA,NA,NA,"c(-120.047754981417, 34.6908093589375)",-120.04775498141653,34.6908093589375,3.81,0.36,10.58,21.17,6.2,6.72,109,8,112,2533,467,343,22,59.83,18.38,4.15,0.45,5.2,12,0.79,138,113,1.68,2.68,427,19.9,1.1,89
L2377,3.84,49.16,45.32,42.54,38.7,21.27746135,NA,NA,NA,"c(-120.047763803922, 34.6908187045042)",-120.04776380392168,34.69081870450424,4.09,0.38,10.76,19.78,6.7,5.99,105,7,156,2392,542,538,24,60.47,22.83,6.97,0.53,4.7,4.5,0.76,117,91,1.72,3.53,321,10.1,0.6,121
L2376,3.88,59.88,56,50.6,46.72,21.97728791,NA,NA,NA,"c(-120.046985235886, 34.6905478178571)",-120.04698523588557,34.69054781785708,4.72,0.45,10.49,21.75,6.5,8.56,118,6,104,2480,608,572,27,57.01,23.3,6.74,0.54,4.9,7.5,1.08,119,63,1.32,2.79,305,9.7,0.9,83
L2376,3.84,51.71,47.87,44.96,41.12,20.47959776,NA,NA,NA,"c(-120.04697797341, 34.6905433781961)",-120.0469779734099,34.69054337819606,2.97,0.32,9.28,21.09,6.8,5.19,101,5,104,2414,635,790,24,57.23,25.09,9.6,0.49,4.6,3,0.66,108,55,1.62,2.75,370,6.8,< 0.5,80
L2301,3.88,51.44,47.56,42.7,38.82,24.53343701,NA,NA,NA,"c(-120.046411646744, 34.69102777042)",-120.04641164674364,34.691027770420014,3.73,0.37,10.08,21.81,6.7,5.39,102,6,88,2755,555,493,32,63.16,21.21,5.8,0.64,4.7,4.5,0.86,104,89,1.72,3.26,386,13.3,0.8,60
L2301,3.87,43.24,39.37,34.96,31.09,28.09898242,NA,NA,NA,"c(-120.046404154533, 34.6910293166616)",-120.04640415453328,34.69102931666162,4.3,0.41,10.49,20.51,5.6,8.91,120,9,126,1789,418,451,26,43.61,16.98,5.64,0.55,6.2,27,0.74,176,98,1.45,3.49,477,29.1,1,91
L2331,3.87,51.21,47.34,42.01,38.14,25.52235891,NA,NA,NA,"c(-120.046166015832, 34.690968521425)",-120.04616601583221,34.69096852142505,3.64,0.38,9.58,20.76,6.6,6.97,110,6,71,2508,567,421,40,60.4,22.76,5.2,0.84,4.8,6,0.82,95,59,1.67,2.81,321,16.2,0.8,56
L2331,3.83,54.91,51.08,46.29,42.46,22.67346567,NA,NA,NA,"c(-120.046168067598, 34.6909697263334)",-120.04616806759765,34.69096972633344,3.71,0.38,9.76,22.15,6.5,6.86,109,6,88,2573,630,411,53,58.08,23.7,4.76,1.04,4.9,7.5,0.65,107,51,1.72,2.5,371,11.6,< 0.5,66
B2372,3.88,46.32,42.44,38.26,34.38,25.77720207,NA,NA,NA,"c(-120.046093375827, 34.6914413956706)",-120.04609337582697,34.69144139567057,3.15,0.31,10.16,26.59,6.7,6.28,106,5,104,3326,716,533,42,62.54,22.44,5.14,0.69,4.7,4.5,0.76,78,66,1.88,1.92,318,8.9,0.6,75
B2372,3.87,53.05,49.18,42.72,38.85,26.76720075,NA,NA,NA,"c(-120.046095039573, 34.6914430966979)",-120.04609503957326,34.691443096697895,3.85,0.38,10.13,26.19,6.8,6.25,106,5,107,3473,637,524,43,66.3,20.27,5.13,0.71,4.6,3,0.81,101,72,1.86,1.92,378,8.9,0.7,78
B2371,3.88,57.55,53.67,49.07,45.19,21.47697654,NA,NA,NA,"c(-120.046111009798, 34.6915467439216)",-120.04611100979793,34.691546743921585,3.8,0.36,10.56,24.26,7.2,6.81,109,7,137,3029,651,979,37,62.43,22.36,10.35,0.66,4.2,0,1.01,85,57,2.17,3.28,295,9.4,< 0.5,94
B2371,3.87,42.79,38.92,36.07,32.2,24.74877308,NA,NA,NA,"c(-120.046104466415, 34.6915584731145)",-120.04610446641546,34.69155847311449,5.08,0.45,11.29,19.27,7.1,9.78,124,5,70,2594,471,547,32,67.31,20.37,7.28,0.72,4.3,0,1,85,57,1.48,2.31,185,12.8,1.1,62
B2343,3.85,53.92,50.07,45.06,41.21,23.57195846,NA,NA,Sapflow probe 4,"c(-120.046829365494, 34.6915080045301)",-120.04682936549368,34.69150800453007,2.97,0.31,9.58,19.25,6.8,4.81,98,5,69,2624,416,428,23,68.16,18.01,5.7,0.52,4.6,3,0.6,85,56,1.82,1.48,325,7,0.6,46
B2343,3.92,55.66,51.74,46.71,42.79,23.12252964,NA,NA,Sapflow probe 4,"c(-120.046842586657, 34.6915056400697)",-120.04684258665654,34.69150564006968,2.65,0.28,9.46,18.5,7,6.3,106,6,82,2574,390,567,26,69.57,17.57,7.86,0.61,4.4,0,1,73,78,1.69,1.93,271,11.1,1.1,61
B2346,3.83,55.51,51.68,45.64,41.81,24.68023779,NA,NA,sapflow probe 2,"c(-120.046816062402, 34.6916853994615)",-120.04681606240234,34.69168539946152,3.72,0.37,10.05,25.35,6.9,6.24,106,5,98,3522,557,579,22,69.47,18.31,5.86,0.38,4.5,1.5,0.84,77,86,2,2.34,255,10.1,0.9,64
B2346,3.86,54.47,50.61,46.78,42.92,21.20433266,NA,NA,sapflow probe 2,"c(-120.046812743502, 34.6916894547749)",-120.04681274350231,34.69168945477491,6.02,0.51,11.8,21.32,7,9.77,124,7,95,2786,587,565,26,65.34,22.94,6.8,0.53,4.4,0,1.01,80,64,1.69,3.33,236,14.6,1.4,70
B2347,3.87,56.1,52.23,47.02,43.15,23.08377897,NA,NA,sapflow probe 1,"c(-120.046757047919, 34.6917348415091)",-120.04675704791869,34.6917348415091,3.41,0.34,10.03,23.16,7.2,6.11,106,6,146,2906,694,687,25,62.74,24.97,7.61,0.47,4.2,0,1.03,64,82,2.07,2.21,269,11.4,0.6,90
B2347,3.86,50.75,46.89,40.21,36.35,28.37438424,NA,NA,sapflow probe 1,"c(-120.046763813839, 34.6917253540786)",-120.0467638138394,34.69172535407861,3.74,0.34,11,19.56,7.2,6.4,107,5,109,2494,560,589,21,63.75,23.86,7.72,0.47,4.2,0,0.79,56,82,1.76,1.79,254,17,0.7,73
B2009,3.86,40.78,36.92,35.92,32.06,21.3830309,NA,NA,"Sapflow probe 3 (?)
Previously SapflowNew1 or SapNew1 or New Sapflow 1
","c(-120.046927344649, 34.6918004054064)",-120.04692734464922,34.69180040540638,5.24,0.5,10.48,19.14,7.7,8.46,117,10,112,2639,424,624,23,68.94,18.46,8.36,0.52,3.7,0,1.52,61,91,1.96,3.25,229,3,2.8,81
B2009,3.83,56.01,52.18,36.72,32.89,41.27834315,NA,NA,"Sapflow probe 3 (?)
Previously SapflowNew1 or SapNew1 or New Sapflow 1
","c(-120.046926874042, 34.6917980730097)",-120.04692687404186,34.691798073009686,3.21,0.33,9.73,19.93,6.9,5.12,101,5,86,2633,494,527,23,66.06,20.66,6.78,0.5,4.5,1.5,0.9,83,62,1.97,2.32,323,7,0.9,61
B2375,3.91,45.01,41.1,38.35,34.44,23.4836703,NA,NA,NA,"c(-120.04665627989, 34.6918595497131)",-120.04665627988975,34.691859549713115,2.54,0.28,9.07,19.64,7,7.05,110,7,88,2548,521,619,25,64.87,22.11,8.08,0.55,4.4,0,0.97,77,61,1.82,2.1,241,18.4,0.7,61
B2375,3.91,50.4,46.49,44.37,40.46,19.72222222,NA,NA,NA,"c(-120.046654228124, 34.6918583448047)",-120.04665422812431,34.69185834480472,2.82,0.28,10.07,23.52,6.9,5.59,103,6,126,2928,664,700,32,62.24,23.53,7.63,0.59,4.5,1.5,1.02,79,77,2.18,2.03,294,7.7,0.5,94
L2345,3.86,55.13,51.27,48.09,44.23,19.7714493,NA,NA,NA,"c(-120.046598840975, 34.6916466501344)",-120.04659884097538,34.6916466501344,5.42,0.49,11.06,23.11,5.5,8.61,118,9,146,1828,458,643,21,39.55,16.52,7.13,0.4,6.4,30,0.66,188,96,1.38,4.92,478,15.3,1.1,105
L2345,3.87,47.73,43.86,41.77,37.9,20.59501362,NA,NA,NA,"c(-120.046599103702, 34.6916442852834)",-120.0465991037021,34.69164428528339,5.29,0.45,11.76,21,5.8,9.28,121,12,190,1761,481,955,26,41.93,19.09,11.66,0.54,5.8,21,0.64,175,101,1.03,4.75,431,50.9,1.3,153
