Sample Location,Sample Description #1,Lab Number,Total Exchange Capacity (meq/100 g),pH,Organic Matter (%),Estimated Nitrogen Release (# N/acre),S* (ppm),P* (mg/kg),Ca* (mg/kg),Mg* (mg/kg),K* (mg/kg),Na* (mg/kg),Ca** (%),Mg** (%),K** (%),Na** (%),Other Bases** (%),H** (%),B* (mg/kg),Fe* (mg/kg),Mn* (mg/kg),Cu* (mg/kg),Zn* (mg/kg),Al* (mg/kg),NO3-N (ppm),NH4-N (ppm),Bray I P (ppm)
SOS-0001,-,2217-1,20.74,6.5,7.38,112,7,77,2490,486,607,25,60.03,19.53,7.5,0.52,4.9,7.5,0.78,132,59,1.63,3.38,300,23.2,1.6,95
SOS-0002,-,2218-1,19.25,6.8,7.55,113,6,92,2332,461,845,28,60.57,19.96,11.26,0.63,4.6,3,0.7,113,76,1.26,3.03,314,5.9,0.7,54
SOS-0003,-,2219-1,20.10,6.8,7.19,111,8,112,2411,567,605,55,59.98,23.51,7.72,1.19,4.6,3,0.82,104,84,1.38,2.9,275,22.4,0.6,89
SOS-0004,-,2220-1,18.83,7.7,7.2,111,12,148,2392,485,732,59,63.52,21.46,9.97,1.36,3.7,0,1,88,81,1.57,2.57,254,7.2,< 0.5,106
SOS-0005,-,2221-1,16.45,6.6,11.48,126,5,68,1744,518,566,43,53.01,26.24,8.82,1.14,4.8,6,0.82,79,21,0.71,2.06,127,17.6,0.7,65
SOS-0006,-,2222-1,21.72,6.5,13.24,127,5,66,2388,676,498,40,54.97,25.94,5.88,0.8,4.9,7.5,0.63,104,24,0.88,2.37,250,14.5,0.8,55
SOS-0007,-,2223-1,21.45,6.2,10.97,125,6,81,2267,619,448,27,52.84,24.05,5.36,0.55,5.2,12,0.57,112,30,1.04,2.32,267,6,4.8,65
SOS-0008,-,2224-1,23.71,6.8,14.37,127,8,79,3200,587,345,30,67.48,20.63,3.73,0.55,4.6,3,0.87,92,34,1.38,2.87,223,12.6,1,66
SOS-0009,-,2225-1,18.38,6.3,13.27,127,7,107,2033,450,576,27,55.3,20.4,8.04,0.64,5.1,10.5,0.6,119,48,0.73,3.02,192,15.8,< 0.5,99
SOS-0010,-,2226-1,20.49,6.3,12.64,126,12,82,2500,452,357,26,61.01,18.38,4.47,0.55,5.1,10.5,0.65,99,38,0.85,2.31,176,26.8,1.6,71
SOS-0011,-,2227-1,22.82,6.4,7.3,112,6,92,2409,725,513,51,52.78,26.48,5.76,0.97,5,9,0.63,127,40,1.13,1.82,343,15.7,0.9,66
SOS-0012,-,2228-1,21.36,6.7,6.99,110,6,77,2538,682,321,45,59.41,26.61,3.85,0.92,4.7,4.5,0.8,112,36,1.08,1.96,311,10.6,< 0.5,67
SOS-0013,-,2229-1,20.01,7.2,6.47,107,7,104,2570,569,550,39,64.22,23.7,7.05,0.85,4.2,0,1.05,88,86,1.99,2.36,293,13.1,< 0.5,86
SOS-0014,-,2230-1,19.58,7.3,7.9,114,8,88,2645,519,429,29,67.54,22.09,5.62,0.64,4.1,0,1.18,75,79,1.82,2.51,237,21.6,0.8,63
SOS-0015,-,2231-1,24.05,6.5,6.96,110,5,84,2851,646,516,24,59.27,22.38,5.5,0.43,4.9,7.5,0.65,110,53,1.74,2.4,301,18.5,0.6,60
SOS-0016,-,2232-1,23.37,6.8,5.94,105,4,106,2943,673,452,26,62.97,24,4.96,0.48,4.6,3,0.63,93,57,2.21,2.37,323,11.7,0.9,72
SOS-0017,-,2233-1,20.88,6.5,6.53,108,4,88,2468,561,465,20,59.1,22.39,5.71,0.42,4.9,7.5,0.73,106,36,1.61,2.66,318,10.4,< 0.5,71
SOS-0018,-,2234-1,18.67,6.8,7.76,114,4,72,2447,478,371,19,65.53,21.34,5.1,0.44,4.6,3,0.84,87,36,1.18,2.28,231,10.7,< 0.5,58
SOS-0019,-,2235-1,23.77,6.8,8.62,118,6,99,3084,547,734,24,64.87,19.18,7.92,0.44,4.6,3,0.84,118,55,1.61,2.78,292,16.7,0.6,76
SOS-0020,-,2236-1,23.19,6.7,5.66,103,5,90,3010,563,471,25,64.9,20.23,5.21,0.47,4.7,4.5,0.85,111,42,1.82,2.49,364,10.5,0.7,68
SOS-0021,-,2237-1,21.60,6.4,5.46,102,5,72,2837,394,394,23,65.67,15.2,4.68,0.46,5,9,0.61,111,58,1.63,2.28,302,9.9,0.6,49
SOS-0022,-,2238-1,22.21,6.4,5.93,105,5,80,2861,434,416,26,64.41,16.28,4.8,0.51,5,9,0.66,116,68,1.98,2.81,363,18.3,0.8,59
SOS-0023,-,2239-1,22.54,6.4,9.4,122,7,93,2868,443,495,20,63.62,16.38,5.63,0.39,5,9,0.77,107,108,1.57,5.81,270,26.2,0.9,68
SOS-0024,-,2240-1,21.59,6.6,7.83,114,7,80,2793,477,477,21,64.68,18.41,5.67,0.42,4.8,6,0.85,96,98,2.05,5.5,245,28.1,0.9,58
SOS-0025,-,2241-1,24.31,6.9,7.5,112,9,143,3265,634,439,27,67.15,21.73,4.63,0.48,4.5,1.5,1.19,117,112,1.99,6.12,337,13,0.8,95
SOS-0026,-,2242-1,21.31,6.6,8.21,116,7,152,2491,525,805,26,58.45,20.53,9.69,0.53,4.8,6,0.83,132,88,1.77,4.54,336,24.3,0.9,120
SOS-0027,-,2243-1,24.27,7.7,10.75,125,12,134,2911,892,488,30,59.97,30.63,5.16,0.54,3.7,0,1.6,71,101,1.85,3.67,224,7,0.5,80
SOS-0028,-,2244-1,26.31,7.7,9.13,121,21,173,2625,1221,697,57,49.89,38.67,6.79,0.94,3.7,0,1.9,74,111,2,3.58,186,24.4,1.9,105
SOS-0029,-,2245-1,18.99,6.7,6.47,107,10,81,2514,418,406,34,66.19,18.34,5.48,0.78,4.7,4.5,0.87,81,115,1.87,2.89,267,19.6,1.4,61
SOS-0030,-,2246-1,16.64,7.1,6.3,106,7,95,2148,441,518,41,64.54,22.09,7.98,1.07,4.3,0,1.02,75,121,1.74,2.53,274,12,< 0.5,71
SOS-0031,-,2247-1,17.33,7.1,6.52,108,6,78,2229,441,646,25,64.31,21.21,9.56,0.63,4.3,0,0.72,79,107,1.99,2.77,249,12.9,1,59
SOS-0032,-,2248-1,17.99,7,7.12,111,5,75,2362,453,591,22,65.65,20.98,8.42,0.53,4.4,0,0.7,72,110,2.01,2.66,229,21.7,0.7,55
