sample,morphotype,notes,plate_number,column,row
SOS-013,A,,1,1,a
SOS-013,A,,1,1,b
SOS-013,A,,1,1,c
SOS-013,A,,1,1,d
SOS-013,x,,1,1,e
SOS-013,x,,1,1,f
SOS-013,x,,1,1,g
SOS-013,x,,1,1,h
SOS-013,x,,1,2,a
SOS-013,x,,1,2,b
SOS-013,x,,1,2,c
SOS-013,x,,1,2,d
SOS-013,x,,1,2,e
SOS-013,x,,1,2,f
SOS-013,x,,1,2,g
SOS-013,x,,1,2,h
SOS-021,x,,1,3,a
SOS-021,x,,1,3,b
SOS-021,x,,1,3,c
SOS-021,x,,1,3,d
SOS-021,x,,1,3,e
SOS-021,x,,1,3,f
SOS-021,x,,1,3,g
SOS-021,x,,1,3,h
SOS-022,A,,1,4,a
SOS-022,A,,1,4,b
SOS-022,B,,1,4,c
SOS-022,C,,1,4,d
SOS-022,C,,1,4,e
SOS-022,C,,1,4,f
SOS-022,C,,1,4,g
SOS-022,D,,1,4,h
SOS-022,x,,1,5,a
SOS-022,x,,1,5,b
SOS-022,x,,1,5,c
SOS-022,x,,1,5,d
SOS-022,x,,1,5,e
SOS-022,x,,1,5,f
SOS-022,x,,1,5,g
SOS-022,x,,1,5,h
SOS-009,A,,1,6,a
SOS-009,A,,1,6,b
SOS-009,A,,1,6,c
SOS-009,C,,1,6,d
SOS-009,x,,1,6,e
SOS-009,x,,1,6,f
SOS-009,x,,1,6,g
SOS-009,x,,1,6,h
SOS-011,A,,1,7,a
SOS-011,A,,1,7,b
SOS-011,A,,1,7,c
SOS-011,A,,1,7,d
SOS-011,x,,1,7,e
SOS-011,x,,1,7,f
SOS-011,x,,1,7,g
SOS-011,x,,1,7,h
SOS-037,x,,1,8,a
SOS-037,x,,1,8,b
SOS-037,x,,1,8,c
SOS-037,x,,1,8,d
SOS-037,x,,1,8,e
SOS-037,x,,1,8,f
SOS-037,x,,1,8,g
SOS-037,x,,1,8,h
SOS-008,A,,1,9,a
SOS-008,R,White rhizomorph,1,9,b
SOS-008,x,,1,9,c
SOS-008,x,,1,9,d
SOS-008,x,,1,9,e
SOS-008,x,,1,9,f
SOS-008,x,,1,9,g
SOS-008,x,,1,9,h
SOS-041,x,,1,10,a
SOS-041,x,,1,10,b
SOS-041,x,,1,10,c
SOS-041,x,,1,10,d
SOS-041,x,,1,10,e
SOS-041,x,,1,10,f
SOS-041,x,,1,10,g
SOS-041,x,,1,10,h
SOS-046,A,,1,11,a
SOS-046,E,,1,11,b
SOS-046,E,,1,11,c
SOS-046,x,,1,11,d
SOS-046,x,,1,11,e
SOS-046,x,,1,11,f
SOS-046,x,,1,11,g
SOS-046,x,,1,11,h
SOS-015,x,,1,12,a
SOS-015,x,,1,12,b
SOS-015,x,,1,12,c
SOS-015,x,,1,12,d
SOS-015,x,,1,12,e
SOS-015,x,,1,12,f
SOS-015,x,,1,12,g
SOS-015,x,,1,12,h
SOS-027,x,,2,1,a
SOS-027,x,,2,1,b
SOS-027,x,,2,1,c
SOS-027,x,,2,1,d
SOS-027,x,,2,1,e
SOS-027,x,,2,1,f
SOS-027,x,,2,1,g
SOS-027,x,,2,1,h
SOS-004,A,Could be decomposer,2,2,a
SOS-004,F,,2,2,b
SOS-004,F,,2,2,c
SOS-004,F,,2,2,d
SOS-004,F,,2,2,e
SOS-004,F,,2,2,f
SOS-004,C,,2,2,g
SOS-004,C,,2,2,h
SOS-004,C,,2,3,a
SOS-004,C,,2,3,b
SOS-004,C,,2,3,c
SOS-004,G,Might be root hairs,2,3,d
SOS-004,C,,2,3,e
SOS-004,C,,2,3,f
SOS-004,C,,2,3,g
SOS-004,F,,2,3,h
SOS-056,F,,2,4,a
SOS-056,F,,2,4,b
SOS-056,x,,2,4,c
SOS-056,x,,2,4,d
SOS-056,x,,2,4,e
SOS-056,x,,2,4,f
SOS-056,x,,2,4,g
SOS-056,x,,2,4,h
SOS-016,x,,2,5,a
SOS-016,x,,2,5,b
SOS-016,x,,2,5,c
SOS-016,x,,2,5,d
SOS-016,x,,2,5,e
SOS-016,x,,2,5,f
SOS-016,x,,2,5,g
SOS-016,x,,2,5,h
SOS-053,C,,2,6,a
SOS-053,C,,2,6,b
SOS-053,C,,2,6,c
SOS-053,C,,2,6,d
SOS-053,C,,2,6,e
SOS-053,C,,2,6,f
SOS-053,C,,2,6,g
SOS-053,C,,2,6,h
SOS-040,A,,2,7,a
SOS-040,C,,2,7,b
SOS-040,x,,2,7,c
SOS-040,x,,2,7,d
SOS-040,x,,2,7,e
SOS-040,x,,2,7,f
SOS-040,x,,2,7,g
SOS-040,x,,2,7,h
SOS-028,x,,2,8,a
SOS-028,x,,2,8,b
SOS-028,x,,2,8,c
SOS-028,x,,2,8,d
SOS-028,x,,2,8,e
SOS-028,x,,2,8,f
SOS-028,x,,2,8,g
SOS-028,x,,2,8,h
SOS-007,A,,2,9,a
SOS-007,A,,2,9,b
SOS-007,x,,2,9,c
SOS-007,x,,2,9,d
SOS-007,x,,2,9,e
SOS-007,x,,2,9,f
SOS-007,x,,2,9,g
SOS-007,x,,2,9,h
SOS-052,x,,2,10,a
SOS-052,x,,2,10,b
SOS-052,x,,2,10,c
SOS-052,x,,2,10,d
SOS-052,x,,2,10,e
SOS-052,x,,2,10,f
SOS-052,x,,2,10,g
SOS-052,x,,2,10,h
SOS-055,A,,2,11,a
SOS-055,C,,2,11,b
SOS-055,C,,2,11,c
SOS-055,C,,2,11,d
SOS-055,F,,2,11,e
SOS-055,F,,2,11,f
SOS-055,F,,2,11,g
SOS-055,F,,2,11,h
SOS-055,F,,2,12,a
SOS-055,F,,2,12,b
SOS-055,F,,2,12,c
SOS-055,F,,2,12,d
SOS-055,F,,2,12,e
SOS-055,F,,2,12,f
SOS-055,F,,2,12,g
SOS-055,F,,2,12,h
SOS-018,F,,3,1,a
SOS-018,F,,3,1,b
SOS-018,C,,3,1,c
SOS-018,C,,3,1,d
SOS-018,C,,3,1,e
SOS-018,C,,3,1,f
SOS-018,x,,3,1,g
SOS-018,x,,3,1,h
SOS-017,C,,3,2,a
SOS-017,C,,3,2,b
SOS-017,C,,3,2,c
SOS-017,C,,3,2,d
SOS-017,C,,3,2,e
SOS-017,C,,3,2,f
SOS-017,C,,3,2,g
SOS-017,x,,3,2,h
SOS-035,C,,3,3,a
SOS-035,F,,3,3,b
SOS-035,F,,3,3,c
SOS-035,F,,3,3,d
SOS-035,F,,3,3,e
SOS-035,F,,3,3,f
SOS-035,F,,3,3,g
SOS-035,F,,3,3,h
SOS-032,D,,3,4,a
SOS-032,A,,3,4,b
SOS-032,x,,3,4,c
SOS-032,x,,3,4,d
SOS-032,x,,3,4,e
SOS-032,x,,3,4,f
SOS-032,x,,3,4,g
SOS-032,x,,3,4,h
SOS-044,A,,3,5,a
SOS-044,A,,3,5,b
SOS-044,A,,3,5,c
SOS-044,A,,3,5,d
SOS-044,A,,3,5,e
SOS-044,A,,3,5,f
SOS-044,D,,3,5,g
SOS-044,x,,3,5,h
SOS-036,A,,3,6,a
SOS-036,A,,3,6,b
SOS-036,A,,3,6,c
SOS-036,A,,3,6,d
SOS-036,A,,3,6,e
SOS-036,A,,3,6,f
SOS-036,A,,3,6,g
SOS-036,BLANK,,3,6,h
SOS-001,A,,3,7,a
SOS-001,A,,3,7,b
SOS-049,A,,3,7,c
SOS-029,A,,3,7,d
SOS-033,A,,3,7,e
SOS-033,x,,3,7,f
SOS-033,x,,3,7,g
SOS-033,x,,3,7,h
SOS-010,C,,3,8,a
SOS-010,x,,3,8,b
SOS-010,x,,3,8,c
SOS-010,x,,3,8,d
SOS-051,C,,3,8,e
SOS-051,C,,3,8,f
SOS-051,C,,3,8,g
SOS-051,C,,3,8,h
SOS-025,A,,3,9,a
SOS-025,A,,3,9,b
SOS-025,F,,3,9,c
SOS-025,F,,3,9,d
SOS-025,x,,3,9,e
SOS-025,x,,3,9,f
SOS-025,x,,3,9,g
SOS-025,BLANK,,3,9,h
SOS-054,H,,3,10,a
