Kingdom,Phylum,Class,Order,Family,Genus,Species,sos_core_id,plate_number,column,row
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-013,1,1,a
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-038,4,1,a
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-024,4,8,d
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-003,4,5,b
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-009,1,6,b
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-020,3,11,g
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-024,4,8,b
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-024,4,8,c
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-051,3,8,g
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-038,4,2,h
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-044,3,5,g
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-033,3,7,e
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-020,3,11,h
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-036,4,4,d
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-001,3,7,a
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-034,4,3,e
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-020,3,11,f
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-048,4,6,b
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-003,4,5,c
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-038,4,1,b
k__Fungi,p__Ascomycota,c__Sordariomycetes,o__Sordariales,f__Chaetomiaceae,g__Chaetomium,NA,SOS-038,4,1,f
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__candidum,SOS-004,2,2,g
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__candidum,SOS-004,2,2,h
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__candidum,SOS-020,3,11,a
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__candidum,SOS-020,3,11,c
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__candidum,SOS-003,4,5,d
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__candidum,SOS-004,2,3,a
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__candidum,SOS-004,2,2,f
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__candidum,SOS-020,3,11,b
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__candidum,SOS-002,4,4,a
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__candidum,SOS-038,4,2,a
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__candidum,SOS-004,2,3,f
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__candidum,SOS-003,4,5,e
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__candidum,SOS-002,4,4,c
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__candidum,SOS-002,4,4,b
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__candidum,SOS-022,1,4,f
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__candidum,SOS-038,4,2,b
k__Fungi,p__Ascomycota,c__Pezizomycetes,o__Pezizales,f__Tuberaceae,g__Tuber,s__candidum,SOS-038,4,2,e
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-013,1,1,b
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-014,3,10,d
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-008,1,9,a
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-011,1,7,d
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-044,3,5,c
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-050,4,3,b
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-001,3,7,b
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-044,3,5,d
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-013,1,1,c
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-048,4,6,a
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-050,4,3,c
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-014,3,10,e
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-020,3,11,d
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-009,1,6,a
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-006,3,12,b
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-011,1,7,c
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-022,1,4,a
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-014,3,10,c
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-054,3,10,a
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-006,3,12,a
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-043,4,8,g
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-050,4,3,a
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Pleosporales,f__Pleosporaceae,g__Bipolaris,s__brizae,SOS-031,4,7,a
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Mycosphaerella,s__tassiana,SOS-004,2,3,b
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Mycosphaerella,s__tassiana,SOS-053,2,6,b
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Mycosphaerella,s__tassiana,SOS-046,1,11,a
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Mycosphaerella,s__tassiana,SOS-022,1,4,d
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Mycosphaerella,s__tassiana,SOS-022,1,4,g
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Mycosphaerella,s__tassiana,SOS-011,1,7,a
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Mycosphaerella,s__tassiana,SOS-022,1,4,e
k__Fungi,p__Ascomycota,c__Dothideomycetes,o__Capnodiales,f__Mycosphaerellaceae,g__Mycosphaerella,s__tassiana,SOS-053,2,6,e
